FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START E:\Class Materials\2022 Fall\Eng Phys 2CD4\Topic 2\Final version\Topic-2-2CD4-Group\New folder\group lab 2cd4 flex.pde  19:15:20 10/4/22
Using 1 Thread(s)
 +00:00:00| STEP FAILED. RETRY at Dt= 1.000e-4
 +00:00:00| Step 86 Time= 0.049342 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 1.758e-7 MAX ERR= 1.758e-7 TIME ERR= 0.001903 MEM=716
 +00:00:00| Step 87 Time= 0.050058 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 1.584e-7 MAX ERR= 1.584e-7 TIME ERR= 0.001862 MEM=716
 +00:00:00| Step 88 Time= 0.050775 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 1.417e-7 MAX ERR= 1.417e-7 TIME ERR= 0.001815 MEM=716
 +00:00:00| Step 89 Time= 0.051491 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 1.257e-7 MAX ERR= 1.257e-7 TIME ERR= 0.001764 MEM=718
 +00:00:00| Step 90 Time= 0.052208 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 1.107e-7 MAX ERR= 1.107e-7 TIME ERR= 0.001710 MEM=721
 +00:00:00| Step 91 Time= 0.052924 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 9.676e-8 MAX ERR= 9.676e-8 TIME ERR= 0.001652 MEM=721
 +00:00:00| Step 92 Time= 0.053641 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 8.397e-8 MAX ERR= 8.397e-8 TIME ERR= 0.001592 MEM=721
 +00:00:00| Step 93 Time= 0.054357 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 7.233e-8 MAX ERR= 7.233e-8 TIME ERR= 0.001531 MEM=721
 +00:00:00| Step 94 Time= 0.055073 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 6.184e-8 MAX ERR= 6.184e-8 TIME ERR= 0.001469 MEM=721
 +00:00:00| Step 95 Time= 0.055790 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 5.247e-8 MAX ERR= 5.247e-8 TIME ERR= 0.001407 MEM=721
 +00:00:00| Step 96 Time= 0.056506 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 4.416e-8 MAX ERR= 4.416e-8 TIME ERR= 0.001345 MEM=721
 +00:00:00| Step 97 Time= 0.057223 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 3.685e-8 MAX ERR= 3.685e-8 TIME ERR= 0.001284 MEM=721
